,ISIN CODE,NAME,TICKER SYMBOL,trade_count,n_distinct_traders,n_distinct_trade_types,ts_rows,reason_to_exclude
2034,NA,AMPLITUDE HLTHCR.ACQ. CORP CL B,JSPR,21,6,3,824.0,Missing ISIN
3603,NA,WHITEHALL JLRS.'B',JWLR,75,12,7,824.0,Missing ISIN
2809,NA,JAWS MUSTANG ACQUISITION CORP CL B,JWSM,2,2,1,824.0,Missing ISIN
2810,NA,JIYA ACQUISITION CL B,JYAC,9,2,2,824.0,Missing ISIN
2820,NA,KAIROS ACQUISITION CORP CL B,KAIR,3,3,1,824.0,Missing ISIN
2827,NA,KENNETH COLE PRD.'B' DEAD - 28/09/12,KCP,476,36,9,824.0,Missing ISIN
2824,NA,KEANE CLASS B,KEA,102,30,8,824.0,Missing ISIN
2845,NA,KINS TECHNOLOGY GROUP IN CL B,KINZ,1,1,1,824.0,Missing ISIN
2854,NA,KNOWBE4 INC CL B,KNBE,112,14,8,824.0,Missing ISIN
2823,NA,KAYNE ANDERSON ACQ CORP CL B,KNTK,70,20,6,824.0,Missing ISIN
2858,NA,KURA SUSHI USA CL B,KRUS,3,3,3,824.0,Missing ISIN
2856,NA,K-SEA TRANSPORTATION,KSP,83,14,4,824.0,Missing ISIN
2857,NA,K-SWISS INC. CLASS B,KSWS,334,14,8,824.0,Missing ISIN
2863,NA,LAFARGE CORP.EXH,LAF,153,28,8,824.0,Missing ISIN
2864,NA,LAMAR ADVERTISING CO,LAMR,456,24,9,824.0,Missing ISIN
2870,NA,LARSCOM INCORPORATED,LARS,19,14,3,824.0,Missing ISIN
2667,NA,GORES METROPOULOS INC CL B,LAZR,75,19,8,824.0,Missing ISIN
2913,NA,LONGBOARD PHARMACEUTICALS INC CL B,LBPH,1,1,1,824.0,Missing ISIN
2904,NA,LIONHEART ACQUISITION CORP II CL B,LCAP,33,13,6,824.0,Missing ISIN
2876,NA,LCC INTL.INC,LCCI,86,26,8,824.0,Missing ISIN
2278,NA,CHURCHILL CAPITAL IV CORP CL B,LCID,37,14,4,824.0,Missing ISIN
2880,NA,LEAPFROG ENTERPRISES 'B' DEAD - 05/04/16,LF,1126,49,10,824.0,Missing ISIN
2893,NA,LF CAPITAL ACQUISITION CORP II CL B,LFAC,30,11,4,824.0,Missing ISIN
3208,NA,RICE ACQUISITION CORP CL B,LFG,51,16,5,824.0,Missing ISIN
2916,NA,LONGVIEWAACQUISITION CORPAII CL B,LGV,1,1,1,824.0,Missing ISIN
2914,NA,LONGEVERON INC CL B,LGVN,42,13,5,824.0,Missing ISIN
2886,NA,LERER HIPPEAU ACQUISITION CL B,LHAA,4,4,1,824.0,Missing ISIN
2894,NA,LIBERTY LATIN AMERICA LTD CL B,LILA,379,17,6,824.0,Missing ISIN
